#	DATOS	LANGOSTINO	COLORADO	III	-	IV	REGIONES	SEXO	COMBINADO	2017																									
#	numero	de	años																																
64																																			
#	número	de	edades																																
6																																			
#	edad	inicial																																	
1																																			
#	delta	edad																																	
1																																			
#	numero	de	tallas																																
36																																			
#	indices	de	abundancia	y	captura																														
#Año	Crucero	cv	CPUE	cv	Desemb	cv																											
0	0	0	0	0.00009	0.00049	0.00135	0.00245	0.00401	0.00672	0.011	0.01798	0.03438	0.06374	0.09083	0.1289	0.15979	0.15455	0.13738	0.082	0.05185	0.03171	0.01411	0.00539	0.00106	0.00007	0.00011	0	0	0	0	0	0	0	0	0
0.00014	0	0.00004	0	0.00109	0.00119	0.00604	0.00595	0.01056	0.0118	0.01622	0.0264	0.0369	0.06601	0.09518	0.13089	0.15203	0.14016	0.11709	0.08311	0.05156	0.02989	0.01273	0.00416	0.00076	0.00012	0	0	0	0	0	0	0	0	0	0
0	0.00009	0.00017	0	0.00001	0.00012	0.00067	0.00146	0.0029	0.0039	0.00924	0.02228	0.03721	0.05598	0.08424	0.11766	0.14428	0.14715	0.13468	0.10812	0.06603	0.0399	0.01802	0.0048	0.00068	0.00029	0.00007	0	0	0	0	0	0	0	0	0
0	0	0.00005	0.00017	0.00003	0.00027	0.0001	0.00061	0.00083	0.00159	0.00583	0.013	0.02599	0.04115	0.07651	0.10909	0.12969	0.1449	0.13618	0.12677	0.10321	0.057	0.02141	0.00489	0.00065	0.00002	0.00001	0	0	0	0	0	0	0	0	0
0	0	0	0.00004	0.00055	0.00257	0.00334	0.00459	0.00693	0.00737	0.01351	0.01872	0.02489	0.02725	0.04747	0.07564	0.11239	0.13342	0.14801	0.12255	0.10414	0.07602	0.04715	0.01755	0.00496	0.00093	0	0	0	0	0	0	0	0	0	0
0	0	0.00001	0.00017	0.00011	0.0004	0.0007	0.00116	0.00267	0.00359	0.00535	0.0126	0.02535	0.04591	0.07053	0.08353	0.08999	0.10891	0.11699	0.11844	0.11123	0.09545	0.06406	0.02916	0.00987	0.00214	0.00053	0.00056	0.00032	0.00011	0	0.00011	0	0.00005	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	Estructura	de	tallas	en	los	cruceros	de	evaluacion	directa																										
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
